"Player","Pos","Team","Salary","Proj","Value","OptPos","Pos2","Pos1","Opp"
"Max Muncy","3B","LAD",5000,8.76,1.8,"3B","","3B","@ARI - Kelly - R"
"Tyler Naquin","OF","NYM",4300,8.74,2,"OF","","OF","CHC - Sampson - R"
"Lane Thomas","OF","WSH",2700,8.68,3.2,"OF","","OF","BAL - Kremer - R"
"Xander Bogaerts","SS","BOS",5500,8.64,1.6,"SS","","SS","NYY - Cole - R"
"Jose Miranda","1B","MIN",3100,8.61,2.8,"1B","","1B","KC - Bubic - L"
"Austin Riley","3B","ATL",5400,8.57,1.6,"3B","","3B","@SF - Junis - R"
"Andrew McCutchen","OF","MIL",4300,8.57,2,"OF","","OF","@STL - Montgomery - L"
"Tyler O'Neill","OF","STL",5400,8.55,1.6,"OF","","OF","MIL - Bush - R"
"Hunter Renfroe","OF","MIL",5000,8.54,1.7,"OF","","OF","@STL - Montgomery - L"
"Jurickson Profar","OF","SD",4000,8.51,2.1,"OF","","OF","@SEA - Gilbert - R"
"Dermis Garcia","1B","OAK",2400,8.5,3.5,"1B","","1B","@TEX - Ragans - L"
"Rougned Odor","2B","BAL",2600,8.49,3.3,"2B","","2B","@WAS - Abbott - R"
"Andrew Vaughn","OF","CWS",3900,8.48,2.2,"OF","","OF","COL - Kuhl - R"
"Austin Hays","OF","BAL",3100,8.48,2.7,"OF","","OF","@WAS - Abbott - R"
"Willy Adames","SS","MIL",5400,8.47,1.6,"SS","","SS","@STL - Montgomery - L"
"Dan Vogelbach","1B","NYM",4200,8.44,2,"1B","","1B","CHC - Sampson - R"
"Joc Pederson","OF","SF",5200,8.39,1.6,"OF","","OF","ATL - Wright - R"
"Mark Canha","OF","NYM",4000,8.39,2.1,"OF","","OF","CHC - Sampson - R"
"Jonah Heim","C","TEX",3600,8.38,2.3,"C","","C","OAK - Waldichuk - L"
"Ramon Urias","3B","BAL",3200,8.37,2.6,"3B","","3B","@WAS - Abbott - R"
"Bobby Witt","3B/SS","KC",5600,8.34,1.5,"3B/SS","SS","3B","@MIN - Ryan - R"
"Chris Taylor","2B/OF","LAD",3700,8.32,2.2,"2B/OF","OF","2B","@ARI - Kelly - R"
"Seth Brown","1B/OF","OAK",3100,8.3,2.7,"1B/OF","OF","1B","@TEX - Ragans - L"
"Salvador Perez","C","KC",5300,8.27,1.6,"C","","C","@MIN - Ryan - R"
"Randal Grichuk","OF","COL",3800,8.24,2.2,"OF","","OF","@CWS - Kopech - R"
"Gio Urshela","3B","MIN",2700,8.23,3,"3B","","3B","KC - Bubic - L"
"Tommy Edman","2B/SS","STL",5500,8.21,1.5,"2B/SS","SS","2B","MIL - Bush - R"
