"Team","Opp","Player1","Player2","Salary","Proj","Value"
"SD","CIN - Lodolo ( L )","Ha-Seong Kim","Wil Myers",5200,21.2,4.1
"ATL","@LAD - Kershaw ( L )","Adam Duvall","Austin Riley",7100,21.2,3
"HOU","LAA - Lorenzen ( R )","Chas McCormick","Kyle Tucker",5900,21.2,3.6
"SD","CIN - Lodolo ( L )","Austin Nola","Jake Cronenworth",5900,21.2,3.6
"NYM","SF - Cobb ( R )","Eduardo Escobar","Francisco Lindor",7500,21.2,2.8
"CHC","TB - McClanahan ( L )","Frank Schwindel","Willson Contreras",6200,21.1,3.4
"PHI","@COL - Kuhl ( R )","Johan Camargo","Matt Vierling",5400,21.1,3.9
"TB","@CHC - Hendricks ( R )","Josh Lowe","Mike Zunino",4700,21.1,4.5
"ARI","@WAS - Gray ( R )","Carson Kelly","Seth Beer",4600,21.1,4.6
"COL","PHI - Nola ( R )","Charlie Blackmon","Ryan McMahon",7300,21.1,2.9
